prefecture-level city,Prefecture level city code,year,Local general public budget expenditures_Ten thousand yuan_Citywide,science and technology expenditure_Ten thousand yuan_Citywide,Scientific and technological level
Beijing,110000,2003,7348043,107629,0.0146473
Beijing,110000,2004,8982756,132556,0.01475672
Beijing,110000,2005,10583114,157439,0.01487643
Beijing,110000,2006,12968389,193238,0.01490069
Beijing,110000,2007,16495023,907420,0.05501175
Beijing,110000,2008,19592857,1121886,0.05725995
Beijing,110000,2009,23193658,1263072,0.05445765
Beijing,110000,2010,27173174,1789154,0.06584266
Beijing,110000,2011,32452264,1830745,0.05641348
Beijing,110000,2012,36853076,1999444,0.05425447
Beijing,110000,2013,41736563,2346742,0.05622749
Beijing,110000,2014,45246690,2827117,0.06248229
Beijing,110000,2015,57377011,2877956,0.0501587
Beijing,110000,2016,64066737,2857785,0.04460638
Beijing,110000,2017,68194936,3617191,0.05304193
Beijing,110000,2018,74675240,4258712,0.05702977
Beijing,110000,2019,74082503,4334165,0.05850457
Beijing,110000,2020,71161762,4109628,0.05775051
Beijing,110000,2021,72051201,4494463,0.06237874
Tianjin City,120000,2003,3120771,19403,0.00621737
Tianjin City,120000,2004,3750212,22915,0.00611032
Tianjin City,120000,2005,4421207,27989,0.00633062
Tianjin City,120000,2006,5431219,33063,0.00608758
Tianjin City,120000,2007,6743262,223384,0.03312699
Tianjin City,120000,2008,8677245,286530,0.03302085
Tianjin City,120000,2009,11242778,339953,0.03023746
Tianjin City,120000,2010,13768395,432530,0.0314147
Tianjin City,120000,2011,17963333,601721,0.03349718
Tianjin City,120000,2012,21432125,764529,0.0356721
Tianjin City,120000,2013,25492061,928087,0.0364069
Tianjin City,120000,2014,28846993,1089967,0.03778442
Tianjin City,120000,2015,32323500,1208200,0.03737838
Tianjin City,120000,2016,36994300,1251740,0.03383602
Tianjin City,120000,2017,32808795,1159606,0.03534436
Tianjin City,120000,2018,31045305,1057097,0.03405014
Tianjin City,120000,2019,35087128,1099548,0.03133765
Tianjin City,120000,2020,31513505,1181712,0.03749859
Tianjin City,120000,2021,31525478,1039691,0.03297939
Shijiazhuang City,130100,2003,802274,3253,0.00405472
Shijiazhuang City,130100,2004,929683,3828,0.00411753
Shijiazhuang City,130100,2005,1081627,4519,0.00417797
Shijiazhuang City,130100,2006,1282462,4542,0.00354163
Shijiazhuang City,130100,2007,1631692,31567,0.01934618
Shijiazhuang City,130100,2008,1937869,40922,0.02111701
Shijiazhuang City,130100,2009,2409171,38732,0.0160769
Shijiazhuang City,130100,2010,3051647,45021,0.01475302
Shijiazhuang City,130100,2011,4035381,63205,0.01566271
Shijiazhuang City,130100,2012,4640932,75058,0.01617304
Shijiazhuang City,130100,2013,5229442,80065,0.01531043
Shijiazhuang City,130100,2014,5664878,72908,0.01287018
Shijiazhuang City,130100,2015,6823857,90482,0.01325966
Shijiazhuang City,130100,2016,7461188,122300,0.01639149
Shijiazhuang City,130100,2017,8067284,100610,0.01247136
Shijiazhuang City,130100,2018,9916127,118720,0.01197242
Shijiazhuang City,130100,2019,10513884,123373,0.01173429
Shijiazhuang City,130100,2020,11422265,152812,0.01337843
Shijiazhuang City,130100,2021,11527442,153639,0.01332811
Tangshan City,130200,2003,729967,2046,0.00280287
Tangshan City,130200,2004,975576,2232,0.00228788
Tangshan City,130200,2005,1277866,2508,0.00196265
Tangshan City,130200,2006,1515404,3287,0.00216906
Tangshan City,130200,2007,1929440,29494,0.0152863
Tangshan City,130200,2008,2570426,39038,0.01518737
Tangshan City,130200,2009,2857675,38572,0.01349769
Tangshan City,130200,2010,3324335,47728,0.01435716
Tangshan City,130200,2011,4416812,61956,0.01402731
Tangshan City,130200,2012,4903141,105895,0.02159738
Tangshan City,130200,2013,4971792,90477,0.01819807
Tangshan City,130200,2014,5246569,81583,0.01554978
Tangshan City,130200,2015,5922620,64203,0.0108403
Tangshan City,130200,2016,6425412,85842,0.01335977
Tangshan City,130200,2017,6626323,71110,0.01073144
Tangshan City,130200,2018,7492880,89057,0.01188555
Tangshan City,130200,2019,7975076,98211,0.01231474
Tangshan City,130200,2020,9262511,123386,0.01332101
Tangshan City,130200,2021,9214638,134692,0.01461718
Qinhuangdao City,130300,2003,304085,455,0.00149629
Qinhuangdao City,130300,2004,342841,478,0.00139423
Qinhuangdao City,130300,2005,440826,618,0.00140191
Qinhuangdao City,130300,2006,554172,745,0.00134435
Qinhuangdao City,130300,2007,723444,5251,0.00725834
Qinhuangdao City,130300,2008,941871,5069,0.00538184
Qinhuangdao City,130300,2009,1037192,5986,0.00577135
Qinhuangdao City,130300,2010,1357443,7799,0.00574536
Qinhuangdao City,130300,2011,1686186,10790,0.00639906
Qinhuangdao City,130300,2012,1999739,11971,0.00598628
Qinhuangdao City,130300,2013,2003166,13887,0.00693253
Qinhuangdao City,130300,2014,2119627,18960,0.00894497
Qinhuangdao City,130300,2015,2282969,9195,0.00402765
Qinhuangdao City,130300,2016,2455712,29152,0.0118711
Qinhuangdao City,130300,2017,2626987,30410,0.011576
Qinhuangdao City,130300,2018,2912487,30638,0.01051953
Qinhuangdao City,130300,2019,3179413,31044,0.00976407
Qinhuangdao City,130300,2020,3402821,22078,0.00648815
Qinhuangdao City,130300,2021,3109139,28114,0.00904237
Handan,130400,2003,483180,1198,0.00247941
Handan,130400,2004,636700,1529,0.00240144
Handan,130400,2005,838438,1948,0.00232337
Handan,130400,2006,1095592,2141,0.00195419
Handan,130400,2007,1303088,15761,0.01209512
Handan,130400,2008,1549911,17851,0.01151744
Handan,130400,2009,1977222,20145,0.01018854
Handan,130400,2010,2638552,21509,0.00815182
Handan,130400,2011,3286308,26699,0.00812431
Handan,130400,2012,3795820,48570,0.01279565
Handan,130400,2013,3671338,54004,0.01470962
Handan,130400,2014,4046724,67640,0.01671475
Handan,130400,2015,5156300,41304,0.0080104
Handan,130400,2016,5316404,44242,0.00832179
Handan,130400,2017,5470074,50523,0.00923626
Handan,130400,2018,6259998,53089,0.00848067
Handan,130400,2019,6972080,66530,0.00954235
Handan,130400,2020,7892357,69913,0.00885832
Handan,130400,2021,7504067,72454,0.0096553
Xingtai city,130500,2003,357079,682,0.00190994
Xingtai city,130500,2004,411611,792,0.00192415
Xingtai city,130500,2005,518765,921,0.00177537
Xingtai city,130500,2006,680545,884,0.00129896
Xingtai city,130500,2007,833282,5733,0.00688002
Xingtai city,130500,2008,1097201,6318,0.00575829
Xingtai city,130500,2009,1326306,9614,0.0072487
Xingtai city,130500,2010,1723385,8418,0.00488457
Xingtai city,130500,2011,2146098,10777,0.00502167
Xingtai city,130500,2012,2502476,11810,0.00471933
Xingtai city,130500,2013,2591944,12837,0.00495265
Xingtai city,130500,2014,2946228,19207,0.00651918
Xingtai city,130500,2015,3736715,13815,0.0036971
Xingtai city,130500,2016,4093874,24504,0.00598553
Xingtai city,130500,2017,4185241,24803,0.0059263
Xingtai city,130500,2018,4948361,29004,0.00586133
Xingtai city,130500,2019,5504747,30392,0.00552105
Xingtai city,130500,2020,6109699,34355,0.00562303
Xingtai city,130500,2021,5730361,34466,0.00601463
Baoding City,130600,2003,595641,921,0.00154623
Baoding City,130600,2004,691413,968,0.00140003
Baoding City,130600,2005,861124,1231,0.00142953
Baoding City,130600,2006,1036614,1223,0.0011798
Baoding City,130600,2007,1309392,6225,0.00475411
Baoding City,130600,2008,1662787,9041,0.00543726
Baoding City,130600,2009,2003560,8998,0.00449101
Baoding City,130600,2010,2689044,21708,0.00807276
Baoding City,130600,2011,3326726,15555,0.00467577
Baoding City,130600,2012,3835725,19048,0.00496595
Baoding City,130600,2013,4604250,24567,0.00533572
Baoding City,130600,2014,4575943,22710,0.00496291
Baoding City,130600,2015,5668009,22274,0.00392977
Baoding City,130600,2016,6120552,37453,0.00611922
Baoding City,130600,2017,6636722,44738,0.00674098
Baoding City,130600,2018,10504715,43063,0.0040994
Baoding City,130600,2019,8777475,56776,0.00646838
Baoding City,130600,2020,12374040,50426,0.00407514
Baoding City,130600,2021,12727093,122425,0.00961924
Zhangjiakou City,130700,2003,376778,1038,0.00275494
Zhangjiakou City,130700,2004,526979,1203,0.00228282
Zhangjiakou City,130700,2005,586958,1492,0.00254192
Zhangjiakou City,130700,2006,686134,2158,0.00314516
Zhangjiakou City,130700,2007,922461,4209,0.00456279
Zhangjiakou City,130700,2008,1110899,6500,0.00585112
Zhangjiakou City,130700,2009,1552291,30870,0.01988674
Zhangjiakou City,130700,2010,1817320,11969,0.00658607
Zhangjiakou City,130700,2011,2315155,10084,0.00435565
Zhangjiakou City,130700,2012,2665617,13035,0.00489005
Zhangjiakou City,130700,2013,2948208,13595,0.00461128
Zhangjiakou City,130700,2014,3297137,15201,0.00461036
Zhangjiakou City,130700,2015,3902617,11801,0.00302387
Zhangjiakou City,130700,2016,4151921,22530,0.0054264
Zhangjiakou City,130700,2017,4725763,20821,0.00440585
Zhangjiakou City,130700,2018,5602556,28555,0.00509678
Zhangjiakou City,130700,2019,6110403,23308,0.00381448
Zhangjiakou City,130700,2020,6430738,36650,0.00569919
Zhangjiakou City,130700,2021,5353311,34441,0.00643359
Chengde City,130800,2003,293053,810,0.00276401
Chengde City,130800,2004,378111,1095,0.00289597
Chengde City,130800,2005,485209,1122,0.00231241
Chengde City,130800,2006,621812,1227,0.00197327
Chengde City,130800,2007,760474,7063,0.00928763
Chengde City,130800,2008,1068293,8662,0.00810826
Chengde City,130800,2009,1297273,9519,0.0073377
Chengde City,130800,2010,1559205,10349,0.00663736
Chengde City,130800,2011,1923582,13700,0.00712213
Chengde City,130800,2012,2357968,15705,0.0066604
Chengde City,130800,2013,2617543,21420,0.00818325
Chengde City,130800,2014,2543206,16660,0.00655079
Chengde City,130800,2015,2925360,15566,0.00532105
Chengde City,130800,2016,3037531,24083,0.00792848
Chengde City,130800,2017,3376382,21410,0.00634111
Chengde City,130800,2018,3771658,25418,0.00673921
Chengde City,130800,2019,4218239,18670,0.00442602
Chengde City,130800,2020,4491623,27377,0.00609512
Chengde City,130800,2021,4211650,26555,0.00630513
Cangzhou City,130900,2003,435933,1677,0.00384692
Cangzhou City,130900,2004,501998,1977,0.00393826
Cangzhou City,130900,2005,629702,2223,0.00353024
Cangzhou City,130900,2006,805971,2393,0.00296909
Cangzhou City,130900,2007,1005753,8082,0.00803577
Cangzhou City,130900,2008,1249898,9104,0.00728379
Cangzhou City,130900,2009,1575413,10110,0.00641736
Cangzhou City,130900,2010,2131343,11816,0.00554392
Cangzhou City,130900,2011,2643508,11325,0.00428408
Cangzhou City,130900,2012,3115744,14767,0.00473948
Cangzhou City,130900,2013,3524113,20687,0.00587013
Cangzhou City,130900,2014,3812703,34954,0.00916777
Cangzhou City,130900,2015,4848296,18456,0.0038067
Cangzhou City,130900,2016,5048978,43578,0.00863105
Cangzhou City,130900,2017,5504803,46063,0.00836778
Cangzhou City,130900,2018,6222522,57651,0.00926489
Cangzhou City,130900,2019,6863022,49422,0.0072012
Cangzhou City,130900,2020,7350504,59138,0.00804543
Cangzhou City,130900,2021,6687661,60020,0.00897474
Langfang City,131000,2003,327058,1463,0.00447321
Langfang City,131000,2004,396387,1885,0.00475545
Langfang City,131000,2005,479809,2124,0.00442676
Langfang City,131000,2006,607483,2308,0.00379928
Langfang City,131000,2007,841708,13695,0.01627049
Langfang City,131000,2008,1065480,14872,0.01395803
Langfang City,131000,2009,1321476,20618,0.01560225
Langfang City,131000,2010,1796396,23539,0.01310346
Langfang City,131000,2011,2279461,27916,0.01224675
Langfang City,131000,2012,2680378,33688,0.01256838
Langfang City,131000,2013,2924316,31634,0.01081757
Langfang City,131000,2014,3025103,29444,0.00973322
Langfang City,131000,2015,4819446,41606,0.00863294
Langfang City,131000,2016,5089037,76455,0.01502347
Langfang City,131000,2017,5827035,66840,0.01147067
Langfang City,131000,2018,6203506,56004,0.0090278
Langfang City,131000,2019,6397682,74277,0.01160999
Langfang City,131000,2020,6518910,92783,0.0142329
Langfang City,131000,2021,6424899,94181,0.01465875
Hengshui City,131100,2003,234638,835,0.00355867
Hengshui City,131100,2004,290602,1006,0.00346178
Hengshui City,131100,2005,392998,953,0.00242495
Hengshui City,131100,2006,440563,1076,0.00244233
Hengshui City,131100,2007,555808,4024,0.00723991
Hengshui City,131100,2008,667767,4894,0.0073289
Hengshui City,131100,2009,904115,5510,0.00609436
Hengshui City,131100,2010,1120991,6741,0.00601343
Hengshui City,131100,2011,1374187,6706,0.00487998
Hengshui City,131100,2012,1608095,7336,0.00456192
Hengshui City,131100,2013,1855649,7906,0.0042605
Hengshui City,131100,2014,2425747,8237,0.00339566
Hengshui City,131100,2015,2689296,8505,0.00316254
Hengshui City,131100,2016,3027787,17033,0.00562556
Hengshui City,131100,2017,2982886,31181,0.0104533
Hengshui City,131100,2018,3592082,45227,0.01259075
Hengshui City,131100,2019,3942764,55720,0.01413222
Hengshui City,131100,2020,4198530,66969,0.01595058
Hengshui City,131100,2021,3954105,59087,0.0149432
Taiyuan City,140100,2003,427720,1220,0.00285233
Taiyuan City,140100,2004,571883,1559,0.00272608
Taiyuan City,140100,2005,718390,2142,0.00298167
Taiyuan City,140100,2006,954238,2896,0.00303488
Taiyuan City,140100,2007,1558029,34608,0.02221268
Taiyuan City,140100,2008,1528553,41158,0.02692612
Taiyuan City,140100,2009,1599051,37219,0.02327568
Taiyuan City,140100,2010,1896358,47015,0.02479226
Taiyuan City,140100,2011,2393147,77561,0.03240963
Taiyuan City,140100,2012,2774437,95583,0.03445131
Taiyuan City,140100,2013,3191090,112969,0.03540138
Taiyuan City,140100,2014,3226934,141469,0.04384007
Taiyuan City,140100,2015,4199913,128030,0.03048396
Taiyuan City,140100,2016,4240666,83197,0.01961885
Taiyuan City,140100,2017,4790558,185297,0.03867963
Taiyuan City,140100,2018,5424589,250447,0.04616884
Taiyuan City,140100,2019,6105530,232044,0.03800555
Taiyuan City,140100,2020,6473448,348265,0.053799
Taiyuan City,140100,2021,6289857,344096,0.05470649
Datong City,140200,2003,308886,1230,0.00398205
Datong City,140200,2004,369729,1319,0.00356748
Datong City,140200,2005,469007,1013,0.00215988
Datong City,140200,2006,567200,1179,0.00207863
Datong City,140200,2007,745717,6159,0.00825917
Datong City,140200,2008,992903,7630,0.00768454
Datong City,140200,2009,1111142,7002,0.00630162
Datong City,140200,2010,1327751,8952,0.00674223
Datong City,140200,2011,1692081,10589,0.00625797
Datong City,140200,2012,1865565,10385,0.00556668
Datong City,140200,2013,2340574,11571,0.00494366
Datong City,140200,2014,2217880,12915,0.00582313
Datong City,140200,2015,2908030,7813,0.0026867
Datong City,140200,2016,2858886,9014,0.00315298
Datong City,140200,2017,3255052,22012,0.00676241
Datong City,140200,2018,3339906,21855,0.0065436
Datong City,140200,2019,3633627,22603,0.00622051
Datong City,140200,2020,3881752,23268,0.0059942
Datong City,140200,2021,3741810,12036,0.00321663
Yangquan City,140300,2003,125779,365,0.00290192
Yangquan City,140300,2004,158910,417,0.00262413
Yangquan City,140300,2005,200500,515,0.00256858
Yangquan City,140300,2006,256241,524,0.00204495
Yangquan City,140300,2007,335191,4401,0.01312983
Yangquan City,140300,2008,406374,5444,0.01339653
Yangquan City,140300,2009,489685,5960,0.01217109
Yangquan City,140300,2010,595962,7190,0.01206453
Yangquan City,140300,2011,710382,7521,0.01058726
Yangquan City,140300,2012,885491,9741,0.01100068
Yangquan City,140300,2013,863573,9244,0.01070436
Yangquan City,140300,2014,869075,8329,0.00958375
Yangquan City,140300,2015,1007101,5815,0.005774
Yangquan City,140300,2016,957303,5324,0.00556146
Yangquan City,140300,2017,1060561,9088,0.00856905
Yangquan City,140300,2018,1239346,6539,0.00527617
Yangquan City,140300,2019,1322650,7447,0.00563036
Yangquan City,140300,2020,1546127,8820,0.00570458
Yangquan City,140300,2021,1278901,11386,0.00890296
Changzhi City,140400,2003,276348,928,0.00335808
Changzhi City,140400,2004,347541,1027,0.00295505
Changzhi City,140400,2005,473992,1256,0.00264983
Changzhi City,140400,2006,697979,1395,0.00199863
Changzhi City,140400,2007,788398,9232,0.01170982
Changzhi City,140400,2008,971493,9832,0.01012051
Changzhi City,140400,2009,1126539,11906,0.01056865
Changzhi City,140400,2010,1358657,14644,0.01077829
Changzhi City,140400,2011,1760325,23059,0.01309929
Changzhi City,140400,2012,2018280,25755,0.01276087
Changzhi City,140400,2013,2458799,28230,0.01148122
Changzhi City,140400,2014,2440202,14734,0.00603802
Changzhi City,140400,2015,2415636,16194,0.00670382
Changzhi City,140400,2016,2343437,35306,0.01506591
Changzhi City,140400,2017,2684289,19147,0.00713299
Changzhi City,140400,2018,3237265,19628,0.00606314
Changzhi City,140400,2019,3545092,16841,0.00475051
Changzhi City,140400,2020,3960786,23552,0.00594629
Changzhi City,140400,2021,3881466,16140,0.00415822
Jincheng City,140500,2003,192517,514,0.00266989
Jincheng City,140500,2004,233725,773,0.00330731
Jincheng City,140500,2005,313156,900,0.00287397
Jincheng City,140500,2006,392330,1268,0.00323197
Jincheng City,140500,2007,540495,7115,0.01316386
Jincheng City,140500,2008,632928,9015,0.01424333
Jincheng City,140500,2009,764896,10231,0.01337567
Jincheng City,140500,2010,895069,12768,0.01426482
Jincheng City,140500,2011,1132373,15073,0.01331098
Jincheng City,140500,2012,1298261,19185,0.01477746
Jincheng City,140500,2013,1573164,21618,0.01374173
Jincheng City,140500,2014,1617219,19770,0.01222469
Jincheng City,140500,2015,1801145,22428,0.01245208
Jincheng City,140500,2016,1725079,9704,0.00562525
Jincheng City,140500,2017,1784121,13307,0.00745857
Jincheng City,140500,2018,2284586,15057,0.00659069
Jincheng City,140500,2019,2525199,28419,0.01125416
Jincheng City,140500,2020,2840023,34747,0.01223476
Jincheng City,140500,2021,2921296,25683,0.00879165
Shuozhou City,140600,2003,113081,174,0.00153872
Shuozhou City,140600,2004,158977,192,0.00120772
Shuozhou City,140600,2005,203434,268,0.00131738
Shuozhou City,140600,2006,374223,297,0.00079364
Shuozhou City,140600,2007,441174,3456,0.00783364
Shuozhou City,140600,2008,605317,5183,0.00856246
Shuozhou City,140600,2009,721488,6209,0.00860583
Shuozhou City,140600,2010,901318,7314,0.00811478
Shuozhou City,140600,2011,1154207,9782,0.00847508
Shuozhou City,140600,2012,1387506,12425,0.00895492
Shuozhou City,140600,2013,1544659,14053,0.0090978
Shuozhou City,140600,2014,1430634,9705,0.00678371
Shuozhou City,140600,2015,1382931,9247,0.00668652
Shuozhou City,140600,2016,1276607,4645,0.00363855
Shuozhou City,140600,2017,1417217,8127,0.00573448
Shuozhou City,140600,2018,1738833,5616,0.00322975
Shuozhou City,140600,2019,1929168,6581,0.00341132
Shuozhou City,140600,2020,1982824,4538,0.00228865
Shuozhou City,140600,2021,2074132,12979,0.00625756
Jinzhong City,140700,2003,242556,345,0.00142235
Jinzhong City,140700,2004,305000,350,0.00114754
Jinzhong City,140700,2005,394496,532,0.00134856
Jinzhong City,140700,2006,664054,497,0.00074843
Jinzhong City,140700,2007,721064,5866,0.0081352
Jinzhong City,140700,2008,856795,7569,0.00883409
Jinzhong City,140700,2009,1030873,8495,0.00824059
Jinzhong City,140700,2010,1205394,10119,0.00839477
Jinzhong City,140700,2011,1541989,11939,0.0077426
Jinzhong City,140700,2012,1787371,14058,0.00786518
Jinzhong City,140700,2013,2136333,17287,0.0080919
Jinzhong City,140700,2014,2168543,19176,0.0088428
Jinzhong City,140700,2015,2411647,19036,0.00789336
Jinzhong City,140700,2016,2471699,15134,0.00612291
Jinzhong City,140700,2017,2789231,24569,0.00880852
Jinzhong City,140700,2018,3226368,22871,0.00708878
Jinzhong City,140700,2019,3710587,27282,0.00735248
Jinzhong City,140700,2020,4001461,27473,0.00686574
Jinzhong City,140700,2021,3668171,24208,0.00659947
Yuncheng City,140800,2003,279212,450,0.00161168
Yuncheng City,140800,2004,370836,515,0.00138875
Yuncheng City,140800,2005,435702,561,0.00128758
Yuncheng City,140800,2006,545866,818,0.00149854
Yuncheng City,140800,2007,722472,4996,0.00691515
Yuncheng City,140800,2008,930775,6461,0.00694153
Yuncheng City,140800,2009,1035827,6192,0.00597783
Yuncheng City,140800,2010,1344544,10801,0.00803321
Yuncheng City,140800,2011,1655377,11987,0.00724125
Yuncheng City,140800,2012,1926396,12035,0.00624742
Yuncheng City,140800,2013,2291650,18197,0.00794057
Yuncheng City,140800,2014,2387663,18307,0.00766733
Yuncheng City,140800,2015,2769475,15455,0.00558048
Yuncheng City,140800,2016,2878358,13375,0.00464675
Yuncheng City,140800,2017,3030131,20828,0.00687363
Yuncheng City,140800,2018,3378723,18367,0.00543608
Yuncheng City,140800,2019,3741868,15386,0.00411185
Yuncheng City,140800,2020,4176614,29417,0.00704327
Yuncheng City,140800,2021,3988230,24357,0.00610722
Xinzhou City,140900,2003,247672,446,0.00180077
Xinzhou City,140900,2004,307816,476,0.00154638
Xinzhou City,140900,2005,374507,503,0.0013431
Xinzhou City,140900,2006,482025,611,0.00126757
Xinzhou City,140900,2007,659877,4657,0.00705738
Xinzhou City,140900,2008,849595,6809,0.00801441
Xinzhou City,140900,2009,1020222,6967,0.00682891
Xinzhou City,140900,2010,1285794,8927,0.00694279
Xinzhou City,140900,2011,1522113,11537,0.00757959
Xinzhou City,140900,2012,1815286,16441,0.00905698
Xinzhou City,140900,2013,2131680,17761,0.00833193
Xinzhou City,140900,2014,2139521,8607,0.00402286
Xinzhou City,140900,2015,2420102,9208,0.0038048
Xinzhou City,140900,2016,2475508,10618,0.00428922
Xinzhou City,140900,2017,2906549,18721,0.00644097
Xinzhou City,140900,2018,3137790,13771,0.00438876
Xinzhou City,140900,2019,3710149,13478,0.00363274
Xinzhou City,140900,2020,4048335,9527,0.00235331
Xinzhou City,140900,2021,3935489,34203,0.00869091
Linfen City,141000,2003,319894,592,0.00185061
Linfen City,141000,2004,439168,734,0.00167134
Linfen City,141000,2005,572657,791,0.00138128
Linfen City,141000,2006,738868,964,0.0013047
Linfen City,141000,2007,904763,7440,0.00822315
Linfen City,141000,2008,1094202,7410,0.00677206
Linfen City,141000,2009,1310754,7612,0.00580734
Linfen City,141000,2010,1597644,10401,0.00651021
Linfen City,141000,2011,1871259,11554,0.00617445
Linfen City,141000,2012,2226858,14582,0.00654824
Linfen City,141000,2013,2652646,16918,0.00637778
Linfen City,141000,2014,2830807,13922,0.00491803
Linfen City,141000,2015,2875251,9008,0.00313294
Linfen City,141000,2016,3109586,9366,0.00301198
Linfen City,141000,2017,3343427,17935,0.00536426
Linfen City,141000,2018,3859235,11190,0.00289954
Linfen City,141000,2019,4112039,8229,0.0020012
Linfen City,141000,2020,4393625,8638,0.00196603
Linfen City,141000,2021,4118735,7651,0.00185761
Luliang City,141100,2003,262233,616,0.00234906
Luliang City,141100,2004,346390,723,0.00208724
Luliang City,141100,2005,452742,849,0.00187524
Luliang City,141100,2006,577538,998,0.00172802
Luliang City,141100,2007,754600,3400,0.0045057
Luliang City,141100,2008,1013922,5718,0.00563949
Luliang City,141100,2009,1217730,6270,0.00514892
Luliang City,141100,2010,1510013,11657,0.0077198
Luliang City,141100,2011,1897561,14162,0.00746326
Luliang City,141100,2012,2464733,18700,0.00758703
Luliang City,141100,2013,2922924,25881,0.00885449
Luliang City,141100,2014,2638085,15845,0.00600625
Luliang City,141100,2015,2740137,10688,0.00390053
Luliang City,141100,2016,2758512,16646,0.00603441
Luliang City,141100,2017,3153750,24553,0.00778533
Luliang City,141100,2018,4098472,17641,0.00430429
Luliang City,141100,2019,4306614,21344,0.0049561
Luliang City,141100,2020,4611397,13980,0.00303162
Luliang City,141100,2021,4066994,15284,0.00375806
Hohhot City,150100,2003,420219,516,0.00122793
Hohhot City,150100,2004,528185,669,0.0012666
Hohhot City,150100,2005,609589,689,0.00113027
Hohhot City,150100,2006,754985,717,0.00094969
Hohhot City,150100,2007,1005133,7150,0.00711349
Hohhot City,150100,2008,1331795,14818,0.01112634
Hohhot City,150100,2009,1651584,17595,0.01065341
Hohhot City,150100,2010,1772800,19254,0.01086079
Hohhot City,150100,2011,2556680,22286,0.00871677
Hohhot City,150100,2012,2753195,23137,0.00840369
Hohhot City,150100,2013,2948353,31291,0.01061304
Hohhot City,150100,2014,3109084,36005,0.01158058
Hohhot City,150100,2015,3606450,25504,0.00707177
Hohhot City,150100,2016,4199738,42768,0.01018349
Hohhot City,150100,2017,4030357,36607,0.00908282
Hohhot City,150100,2018,3567396,33397,0.00936173
Hohhot City,150100,2019,4179245,71868,0.01719641
Hohhot City,150100,2020,4385688,45266,0.0103213
Hohhot City,150100,2021,4207504,31329,0.00744598
Baotou City,150200,2003,457959,1290,0.00281685
Baotou City,150200,2004,609236,1896,0.00311209
Baotou City,150200,2005,754041,1848,0.0024508
Baotou City,150200,2006,979715,2141,0.00218533
Baotou City,150200,2007,1143996,16705,0.01460232
Baotou City,150200,2008,1531681,20895,0.01364187
Baotou City,150200,2009,1955634,27231,0.01392438
Baotou City,150200,2010,2049617,29227,0.01425974
Baotou City,150200,2011,2512724,36556,0.01454835
Baotou City,150200,2012,2911038,38200,0.01312247
Baotou City,150200,2013,3552582,44914,0.01264264
Baotou City,150200,2014,3536905,51548,0.01457432
Baotou City,150200,2015,3932680,53969,0.01372321
Baotou City,150200,2016,4143569,58364,0.01408544
Baotou City,150200,2017,3303194,39163,0.0118561
Baotou City,150200,2018,3645197,48268,0.01324153
Baotou City,150200,2019,3645308,42806,0.01174277
Baotou City,150200,2020,3793266,41581,0.01096179
Baotou City,150200,2021,3356633,54362,0.0161954
Wuhai City,150300,2003,83699,242,0.00289131
Wuhai City,150300,2004,111653,262,0.00234656
Wuhai City,150300,2005,138932,263,0.00189301
Wuhai City,150300,2006,188249,303,0.00160957
Wuhai City,150300,2007,277200,2861,0.01032107
Wuhai City,150300,2008,314700,3310,0.01051795
Wuhai City,150300,2009,550425,5930,0.01077349
Wuhai City,150300,2010,635412,7768,0.01222514
Wuhai City,150300,2011,781966,11108,0.01420522
Wuhai City,150300,2012,935607,10680,0.01141505
Wuhai City,150300,2013,907362,24220,0.02669276
Wuhai City,150300,2014,947811,14979,0.01580378
Wuhai City,150300,2015,1062908,19522,0.01836659
Wuhai City,150300,2016,1333233,17931,0.01344926
Wuhai City,150300,2017,903911,7506,0.00830391
Wuhai City,150300,2018,1090389,10096,0.00925908
Wuhai City,150300,2019,1029679,8888,0.00863182
Wuhai City,150300,2020,1132168,12739,0.01125186
Wuhai City,150300,2021,1133334,17129,0.01511381
Chifeng City,150400,2003,461677,866,0.00187577
Chifeng City,150400,2004,593420,1047,0.00176435
Chifeng City,150400,2005,691390,1144,0.00165464
Chifeng City,150400,2006,827184,1195,0.00144466
Chifeng City,150400,2007,1177493,4950,0.00420385
Chifeng City,150400,2008,1525347,5677,0.00372178
Chifeng City,150400,2009,1870653,6945,0.00371261
Chifeng City,150400,2010,2197851,7972,0.00362718
Chifeng City,150400,2011,2721928,7937,0.00291595
Chifeng City,150400,2012,3256223,11618,0.00356794
Chifeng City,150400,2013,3477996,12947,0.00372255
Chifeng City,150400,2014,3604443,17614,0.00488675
Chifeng City,150400,2015,4150346,14338,0.00345465
Chifeng City,150400,2016,4388482,13924,0.00317285
Chifeng City,150400,2017,4625060,12202,0.00263824
Chifeng City,150400,2018,5102175,19085,0.00374056
Chifeng City,150400,2019,5452234,17697,0.00324583
Chifeng City,150400,2020,6144794,15723,0.00255875
Chifeng City,150400,2021,5716663,26469,0.00463015
Tongliao City,150500,2003,316120,1171,0.00370429
Tongliao City,150500,2004,384360,1294,0.00336664
Tongliao City,150500,2005,493522,1311,0.00265642
Tongliao City,150500,2006,625130,1863,0.00298018
Tongliao City,150500,2007,828681,7649,0.00923033
Tongliao City,150500,2008,1208961,10413,0.00861318
Tongliao City,150500,2009,1524310,13333,0.00874691
Tongliao City,150500,2010,1844649,17410,0.00943811
Tongliao City,150500,2011,2135200,17234,0.00807138
